keyword_busqueda,titulo,empresa,ubicacion,descripcion,salario_min,salario_max,fecha_creacion,url
java,Full Stack Developer - React  Java,IT Partner,España,"uscamos 5 perfiles Full Stack Developer con experiencia de 2 a 4 años trabajando con React y Java , para incorporarse a un proyecto estable en Madrid. Buscamos perfiles que puedan tener mayor fortaleza tanto en Frontend (React) como en Backend (Java  Spring Boot) , siempre que tengan experiencia en ambas tecnologías. Requisitos: Entre 2 y 4 años de experiencia en desarrollo Full Stack. Experiencia con React . Experiencia con Java y Spring Boot . Capacidad para trabajar tanto en Frontend como en…",,,2026-09-13T03:47:56Z,https://www.adzuna.es/land/ad/5882095834?se=4jOkAyuw8RGhe8--YZ_w9w&utm_medium=api&utm_source=183d4d76&v=BA15D2D2B2AE9D85068DF52F3776767D75AC772C
java,Senior Java Developer (Teletrabajo 100%),Plexus Tech,España,"Somos Plexus Tech. Una compañía tecnológica especializada en servicios y productos IT, fundada en el talento y las capacidades de nuestra gente, más de 5.000 profesionales desarrollando tecnología con alma. Buscamos incorporar un/a Senior Java Developer para participar en el desarrollo de servicios backend de alta escalabilidad y trabajar con tecnologías modernas dentro del ecosistema Java. Must-Have Más de 8 años de experiencia profesional con Java . Al menos 3 años trabajando con Java 17 o Ja…",,,2026-09-11T15:47:11Z,https://www.adzuna.es/land/ad/5879777972?se=4jOkAyuw8RGhe8--YZ_w9w&utm_medium=api&utm_source=183d4d76&v=066D7084E4FD49EC7EE15761010B329AC1AA28AE
java,Programador/a Java Senior - Teletrabajo,Nunegal Consulting,España,"¿Te gustaría formar parte de un proyecto tecnológico de alto nivel, trabajando con Java, microservicios, arquitecturas modernas e Inteligencia Artificial? Si buscas un proyecto donde puedas poner en práctica tu experiencia, trabajar con tecnologías actuales y aportar tu criterio técnico, ¡sigue leyendo! ¿Cómo es trabajar con nosotr@s? Tenemos una cultura de mejora continua: Te integrarás en un proyecto retador que impulsará tus conocimientos y experiencia. Crecimiento profesional: Apostamos por…",,,2026-09-09T15:48:44Z,https://www.adzuna.es/land/ad/5877134373?se=SocnBiuw8RG-FLx_YfIXKQ&utm_medium=api&utm_source=183d4d76&v=81F43276FD562946114744B61255510C043CC164
java,Fullstack Java / Spring WebFlux & Angular,CAS Training,España,"Buscamos incorporar un/a Desarrollador/a Fullstack con especial foco en Backend Java , para participar en un proyecto de alto impacto basado en arquitectura de microservicios, Spring Boot y Spring WebFlux . Buscamos especialmente perfiles con experiencia real y práctica con WebFlux y programación reactiva , capaces de trabajar en el diseño y desarrollo de aplicaciones distribuidas y sistemas orientados a eventos. El proyecto requiere experiencia trabajando con arquitecturas modernas y procesos …",,,2026-09-14T03:48:22Z,https://www.adzuna.es/land/ad/5883110351?se=SocnBiuw8RG-FLx_YfIXKQ&utm_medium=api&utm_source=183d4d76&v=15F0370CB1EB9DECDE33820ACDA5F6A24F860025
java,Senior Java Developer (AWS) - Remote,UST España & Latam,España,"We are still looking for the very Top Talent…and we would be delighted if you were to join our team! More in details, UST is a multinational company based in North America, certified as a Top Employer and Great Place to Work company with over 35,000 employees all over the world and presence in more than 35 countries . We are leaders in digital technology services, and we provide large-scale technological solutions to big companies. What we look for? We are looking for a Java Developer to join a…",,,2026-09-09T15:48:43Z,https://www.adzuna.es/land/ad/5877134221?se=SocnBiuw8RG-FLx_YfIXKQ&utm_medium=api&utm_source=183d4d76&v=4E1E4755C7E4A39EE68090ACD228E64094958971
java,Senior Java Developer (Kafka) - Remote,UST España & Latam,España,"We are still looking for the very Top Talent…and we would be delighted if you were to join our team! More in details, UST is a multinational company based in North America, certified as a Top Employer and Great Place to Work company with over 35,000 employees all over the world and presence in more than 35 countries. We are leaders in digital technology services, providing large-scale technological solutions to leading global organizations. What we look for? We are currently looking for a Senio…",,,2026-09-09T03:46:46Z,https://www.adzuna.es/land/ad/5876469126?se=SocnBiuw8RG-FLx_YfIXKQ&utm_medium=api&utm_source=183d4d76&v=BB38F18C67C2DA4AC5AB7E829988F0BC252A8798
java,Analista programador/a - Java Backend,SOLTEL Group,España,"SOLTEL continúa creciendo. Somos una Compañía de IT con un sólido proyecto empresarial, con más de 800 profesionales especializados en Ingeniería de Sistemas, Ingeniería de Software, Soporte Tecnológico, Asistencia Técnica, IDi y Smart Cities. Abrimos nueva posición de analista programador/a en modalidad teletrabajo. Requisitos: Titulación superior universitaria en Matemáticas, Física, Telecomunicaciones o Informática. Al menos 6 años de experiencia profesional. Experiencia en desarrollo Backen…",,,2026-09-09T03:46:45Z,https://www.adzuna.es/land/ad/5876469079?se=SocnBiuw8RG-FLx_YfIXKQ&utm_medium=api&utm_source=183d4d76&v=72D1DD696E5D3D9DC3277FF349352ACFC36F5A97
java,Techie Project Manager (Java- INSURANCE),atmira,España,"¡Atención, amante de la tecnología! Si eres una persona curiosa, creativa y con pasión por la innovación, ¡esta oportunidad es para ti! En nuestro equipo, buscamos mentes inquietas como la tuya, dispuestas a formar parte de Comunidades tecnológicas donde construir conjuntamente. ¡Prepárate para un viaje emocionante! Pero, antes de nada, ¿nos presentamos? Somos atmira, un ecosistema de interacción centrado en las personas. Nuestro objetivo es ayudarte a desarrollarte tanto personal como profesio…",,,2026-09-12T15:48:10Z,https://www.adzuna.es/land/ad/5881023605?se=SocnBiuw8RG-FLx_YfIXKQ&utm_medium=api&utm_source=183d4d76&v=8823FF76C1C60027728A048A0A02E00308381FD5
java,Desarrollador/a Fullstack (Java/Angular),Profile Software Services,España,"¿Buscando nuevos retos? ¿Quieres formar parte de nuestro equipo? Desde Profile buscamos un/a Programador/a Full Stack Java-Angular con mínimo 5 años de experiencia para unirse al equipo de uno de nuestros clientes . Con ilusión es como se cambian las cosas, y queremos contribuir a un futuro mejor gracias a la tecnología. Para conseguirlo no necesitamos héroes ni súper talentos, sino personas implicadas, motivadas, con muchas ganas de trabajar en equipo y de crecer dentro de este proyecto común …",,,2026-09-10T03:46:42Z,https://www.adzuna.es/land/ad/5877835280?se=SocnBiuw8RG-FLx_YfIXKQ&utm_medium=api&utm_source=183d4d76&v=BBCD4BD9E40F5CCD343BE384F14AA44A2E1516DD
java,Senior Java Engineer (AWS) - Remote,UST España & Latam,España,"We are still looking for the very Top Talent…and we would be delighted if you were to join our team! More in details, UST is a multinational company based in North America, certified as a Top Employer and Great Place to Work company with over 35.000 employees all over the world and presence in more than 35 countries. We are leaders on digital technology services, and we provide large-scale technologic solutions to big companies. What we look for? We are looking for Senior Java Engineer who will…",,,2026-09-09T03:46:30Z,https://www.adzuna.es/land/ad/5876467939?se=SocnBiuw8RG-FLx_YfIXKQ&utm_medium=api&utm_source=183d4d76&v=509F49F460A2D7A8E36FB83D0FAB77D1E30EA04C
java,Senior Java Developer,PIXIE,España,Hiring Freelance Senior Java Developers We are looking for aSenior Java Developerto join a long-term project for a leading financial institution. Location:Madrid Remote:100% remote Duration:Long-term English:C1 Requirements 8 years of professional experience with Java 3 years working with Java 17 or 21 Strong experience withSpring / Spring Boot Experience withKafka Experience withRedis and PostgreSQL or MongoDB Strong testing experience withJUnit 5 and Mockito Experience withAWSor equivalent cl…,,,2026-09-13T00:29:21Z,https://www.adzuna.es/details/5881838061?utm_medium=api&utm_source=183d4d76
java,Senior Java Developer,PIXIE,"Arbo, Pontevedra",Hiring Freelance Senior Java Developers We are looking for aSenior Java Developerto join a long-term project for a leading financial institution. Location:Madrid Remote:100% remote Duration:Long-term English:C1 Requirements 8 years of professional experience with Java 3 years working with Java 17 or 21 Strong experience withSpring / Spring Boot Experience withKafka Experience withRedis and PostgreSQL or MongoDB Strong testing experience withJUnit 5 and Mockito Experience withAWSor equivalent cl…,,,2026-09-14T00:29:39Z,https://www.adzuna.es/details/5882919137?utm_medium=api&utm_source=183d4d76
